# Weights_0	Weights_1	Weights_2	Weights_3
9.245991813119498470e-01	7.511705764943004127e-01	9.868039189543154066e-01	1.421443780028434967e+00
9.152960136264212121e-01	7.571195297742550068e-01	9.810808608750839488e-01	1.442547043396309681e+00
9.338860985740670140e-01	7.500781024757656734e-01	9.871777258274619937e-01	1.436261837252752027e+00
9.445707901104837267e-01	7.631357652829484639e-01	9.746004121730066361e-01	1.437486958750273214e+00
9.382308008730385618e-01	7.749274850011483862e-01	9.895679491485800394e-01	1.427952080310775695e+00
9.383502709123411334e-01	7.661934704782421557e-01	9.974546577236821365e-01	1.439858420188375954e+00
9.199890517582506311e-01	7.741034173988817768e-01	9.996976096794292221e-01	1.455296281021982496e+00
9.030858877231712212e-01	7.658585975239188270e-01	1.017812382140563132e+00	1.465675937045724853e+00
9.142863497736386513e-01	7.507147783271215236e-01	1.009897018307444050e+00	1.481011772699180051e+00
9.224546376203865972e-01	7.628711989151216732e-01	9.983551051483077199e-01	1.474964468168318277e+00
9.294868004643942472e-01	7.664989709361642589e-01	1.004883523626157515e+00	1.461415197713580083e+00
9.437793334176657334e-01	7.651829022709623063e-01	9.992847171576577647e-01	1.459745832600665150e+00
9.431274705963026417e-01	7.766923403750125576e-01	9.979468848345771637e-01	1.455007089667639253e+00
9.323890432290045105e-01	7.779275327262343831e-01	1.009018858325422263e+00	1.456347286515315975e+00
9.329008466894340712e-01	7.702708351019263988e-01	1.010089728453608338e+00	1.464527971710333887e+00
9.290058439138247914e-01	7.732036745978877468e-01	1.008010198005087066e+00	1.467882641802474186e+00
9.286254982072149611e-01	7.721107361524093271e-01	1.009780056280460636e+00	1.467529033434420649e+00
9.286626690065056255e-01	7.723062518698109447e-01	1.010285870118057705e+00	1.466803028912323725e+00
9.253370911255777154e-01	7.723912264241521441e-01	1.011175580499592552e+00	1.469108234164895332e+00
9.290208530368446738e-01	7.668119205366198399e-01	1.011473287995603876e+00	1.470688731358766210e+00
9.347684995123277663e-01	7.711807152233747242e-01	1.002493230789509360e+00	1.470041121631890046e+00
9.370505474737570450e-01	7.776936242471891303e-01	1.007190383087132268e+00	1.457548713700069110e+00
9.401361975727581255e-01	7.751054521123602603e-01	1.009480363772602640e+00	1.458232431692631392e+00
