# Time	RLS_Output	RLS_Error
4.228456913827655095e-01	5.645885056402569768e-01	9.307925373313663542e-02
4.248496993987975756e-01	6.400430699304172633e-01	6.371700107276045966e-02
4.268537074148296417e-01	6.244668582150532110e-01	1.225969655198654307e-01
4.288577154308617079e-01	6.398561637833533045e-01	1.475512682265290865e-01
4.308617234468937740e-01	6.186145050687537061e-01	2.060165343928208603e-01
4.328657314629258401e-01	6.268584133395680436e-01	2.317287389864962632e-01
4.348697394789579063e-01	6.405754844807867165e-01	2.485657393862940046e-01
4.368737474949899169e-01	7.249155906636994828e-01	1.912565968364758895e-01
4.388777555110219830e-01	7.677995101681595047e-01	1.717734263353583035e-01
4.408817635270540491e-01	7.300690516569403599e-01	2.291816967575782682e-01
4.428857715430861153e-01	7.472765471932161230e-01	2.278511052374696533e-01
4.448897795591181814e-01	7.453776683240935785e-01	2.417630700348188943e-01
4.468937875751502475e-01	8.321610107608745643e-01	1.630813951281639973e-01
4.488977955911823137e-01	7.997212731124819785e-01	1.996792800914842791e-01
4.509018036072143798e-01	7.930449719033536571e-01	2.065537322756337835e-01
4.529058116232464459e-01	7.945250352046243636e-01	2.013110384616874082e-01
4.549098196392785121e-01	8.388469371325578683e-01	1.492806334735565787e-01
4.569138276553105782e-01	8.149679693361669974e-01	1.615357696156081158e-01
4.589178356713426443e-01	8.256257712479647681e-01	1.353848653954203840e-01
4.609218436873747105e-01	7.099854346950617012e-01	2.317242184140139161e-01
4.629258517034067766e-01	6.825591120070414464e-01	2.361181540102508247e-01
4.649298597194388427e-01	6.361797947212564086e-01	2.558249435225999902e-01
4.669338677354709088e-01	6.435577570550637949e-01	2.182399991994754540e-01
4.689378757515029750e-01	5.767952295929423823e-01	2.513807817430757652e-01
4.709418837675350411e-01	6.145136791238895446e-01	1.767590462106302107e-01
4.729458917835671072e-01	6.678162675623026123e-01	8.341785521906486256e-02
4.749498997995991734e-01	5.490271182187573817e-01	1.591917332782969430e-01
4.769539078156312395e-01	5.483236087163613215e-01	1.140737452532682994e-01
4.789579158316633056e-01	5.754320273278176190e-01	3.851916467041216485e-02
4.809619238476953718e-01	5.176558958602879290e-01	4.541643141747775392e-02
4.829659318637274379e-01	4.436924275520297001e-01	6.626993322333590841e-02
4.849699398797595040e-01	4.054340565762623583e-01	4.939767733616362566e-02
4.869739478957915702e-01	4.140931153593006009e-01	-1.619422064178893672e-02
4.889779559118235808e-01	3.853824977643386385e-01	-4.599306551024073819e-02
4.909819639278556469e-01	2.473614010412535091e-01	3.217378171161869305e-02
4.929859719438877130e-01	2.359223180715303569e-01	-1.734900708107769973e-02
4.949899799599197792e-01	2.636349333455495492e-01	-1.068895627911297663e-01
4.969939879759518453e-01	2.113566519490968909e-01	-1.170603052308570452e-01
4.989979959919839114e-01	6.256282908338681170e-02	-3.108914336479821211e-02
5.010020040080159776e-01	5.171905162286501156e-02	-8.319273734144883026e-02
5.030060120240480437e-01	-8.673889597376485683e-03	-8.562245712085861382e-02
5.050100200400801098e-01	-2.924373950458022259e-02	-1.275016310498348349e-01
5.070140280561121759e-01	-1.184190284189175907e-01	-1.001542825715321244e-01
5.090180360721442421e-01	-1.509443672583880292e-01	-1.285908154944796211e-01
5.110220440881763082e-01	-1.817091329387827692e-01	-1.576802993153089694e-01
5.130260521042083743e-01	-2.634526444257522804e-01	-1.344462502917549984e-01
5.150300601202404405e-01	-3.854878810957730884e-01	-6.934385281665178535e-02
5.170340681362725066e-01	-4.914614315822259938e-01	-1.850092919313850448e-02
5.190380761523045727e-01	-5.336158945075080151e-01	-2.945643277025666862e-02
5.210420841683366389e-01	-6.149083673846933440e-01	9.571753864658916200e-04
5.230460921843687050e-01	-6.431826273051347576e-01	-1.921472666449253186e-02
5.250501002004007711e-01	-7.675190785638112967e-01	5.930022706675919242e-02
5.270541082164328373e-01	-7.704230834914393977e-01	1.918896071007392123e-02
5.290581162324649034e-01	-8.581511466467165450e-01	6.687842131219856601e-02
5.310621242484969695e-01	-8.865407988553108964e-01	5.836478751929441433e-02
5.330661322645290356e-01	-8.881985243456171908e-01	2.640076809107949618e-02
5.350701402805611018e-01	-9.098267380912048452e-01	1.782199984735066689e-02
5.370741482965931679e-01	-9.123628206613372260e-01	-6.314445355953157701e-03
5.390781563126252340e-01	-9.156420499629023269e-01	-2.606760314617173613e-02
5.410821643286573002e-01	-9.499394346925297272e-01	-1.107120195085409264e-02
5.430861723446893663e-01	-1.063086101381403914e+00	8.658236242962902285e-02
5.450901803607214324e-01	-9.238303752314374062e-01	-6.429719537467692980e-02
5.470941883767534986e-01	-9.216817540508717155e-01	-7.415431961543994532e-02
5.490981963927855647e-01	-9.996664546527997963e-01	6.775047381246679379e-05
5.511022044088176308e-01	-9.826522807029022255e-01	-1.674827250106414311e-02
5.531062124248496970e-01	-9.336245324777665555e-01	-6.161787341127233919e-02
5.551102204408817631e-01	-9.014102996869320927e-01	-8.573043867198082424e-02
5.571142284569138292e-01	-9.794490627736468502e-01	4.321410342960407824e-03
5.591182364729458953e-01	-8.493714336394242448e-01	-1.098793147750951604e-01
5.611222444889779615e-01	-8.211208304089477883e-01	-1.184521060945710191e-01
5.631262525050100276e-01	-7.371251919817615184e-01	-1.790469955184157413e-01
5.651302605210419827e-01	-7.620890074695426675e-01	-1.270522163975410512e-01
5.671342685370740488e-01	-7.033887469340895926e-01	-1.551984053919780449e-01
5.691382765531061150e-01	-6.286755216152939418e-01	-1.959555178462824010e-01
5.711422845691381811e-01	-5.841083462220414413e-01	-2.032990857878427260e-01
5.731462925851702472e-01	-6.285140071456213340e-01	-1.185498165892993061e-01
5.751503006012023134e-01	-5.770572546831090888e-01	-1.267028163200707436e-01
5.771543086172343795e-01	-4.856363908231859927e-01	-1.720313685502111722e-01
5.791583166332664456e-01	-4.276023419563601546e-01	-1.813671817544489917e-01
5.811623246492985118e-01	-4.256881135753463608e-01	-1.321702109446092899e-01
5.831663326653305779e-01	-4.124831531334957613e-01	-9.205353022996692891e-02
5.851703406813626440e-01	-2.701259902147444270e-01	-1.790898901816153077e-01
5.871743486973947102e-01	-2.739765025143790500e-01	-1.181386146812211102e-01
5.891783567134267763e-01	-2.572591690913486606e-01	-7.620147911061586621e-02
5.911823647294588424e-01	-1.472594896315212176e-01	-1.262253945843751779e-01
5.931863727454909085e-01	-1.802630496626207723e-01	-3.216242183693338030e-02
5.951903807615229747e-01	-7.309618874415485523e-02	-7.742816138986294283e-02
5.971943887775550408e-01	-3.747439765230217018e-02	-5.055239771048416347e-02
5.991983967935871069e-01	-2.901981158836217795e-02	3.839365868222286565e-03
6.012024048096191731e-01	-6.023946240483241121e-02	9.800514060960174856e-02
6.032064128256512392e-01	7.101264536344982503e-02	2.954951511655633245e-02
6.052104208416833053e-01	9.673191405235155582e-02	6.622826405710226239e-02
6.072144288577153715e-01	3.603423829664580136e-02	1.886782486653342250e-01
6.092184368737474376e-01	1.512558677323538325e-01	1.343185337121993728e-01
6.112224448897795037e-01	1.757244274620553548e-01	1.695803365754248171e-01
6.132264529058115698e-01	1.721094455475090934e-01	2.315574553025971094e-01
6.152304609218436360e-01	1.156356951447612968e-01	3.447938642659496011e-01
6.172344689378757021e-01	2.119109962730973684e-01	3.034568287016304877e-01
6.192384769539077682e-01	2.520613591144013066e-01	3.162026526061333387e-01
6.212424849699398344e-01	3.077548405355848837e-01	3.111536847659781557e-01
6.232464929859719005e-01	3.669312193686866119e-01	3.001694739682936874e-01
6.252505010020039666e-01	3.875321257093357064e-01	3.251174348408919501e-01
6.272545090180360328e-01	4.230873191314749038e-01	3.322873262732949362e-01
6.292585170340680989e-01	4.852772891914717834e-01	3.098293660475480160e-01
6.312625250501001650e-01	5.093264864027191585e-01	3.223616706640384244e-01
6.332665330661322312e-01	5.277699785118529219e-01	3.372042228732688995e-01
6.352705410821642973e-01	6.113993847879631849e-01	2.834335117304365159e-01
6.372745490981963634e-01	6.210615180815107772e-01	3.000844131403413995e-01
6.392785571142284295e-01	6.539093076253358339e-01	2.898997358494918020e-01
6.412825651302604957e-01	6.908996338012238780e-01	2.718327998044041127e-01
6.432865731462925618e-01	6.840027151510172931e-01	2.938384049601574510e-01
6.452905811623246279e-01	7.456054391440257723e-01	2.434697976175598244e-01
6.472945891783566941e-01	7.240577353076050882e-01	2.723325345048159818e-01
6.492985971943887602e-01	7.033346061001219951e-01	2.964226282845590088e-01
6.513026052104208263e-01	6.895971966697084232e-01	3.095655926439556671e-01
6.533066132264528925e-01	7.485805914794221305e-01	2.460286985321976649e-01
6.553106212424849586e-01	8.781664153231719672e-01	1.079483638115590338e-01
6.573146292585170247e-01	8.487029739109629434e-01	1.250099411804412863e-01
6.593186372745490909e-01	9.089767350551404279e-01	4.847610362001009143e-02
6.613226452905811570e-01	9.552785268841018640e-01	-1.787954853360040897e-02
6.633266533066132231e-01	8.914491277466058960e-01	2.218166721688707987e-02
6.653306613226452892e-01	9.004631995952666612e-01	-1.422073270699786285e-02
6.673346693386772444e-01	8.592196989507239202e-01	-3.877182093354969439e-03
6.693386773547093105e-01	6.874467375486165155e-01	1.336066444057165681e-01
6.713426853707413766e-01	6.801243706088451191e-01	1.033865578636464777e-01
6.733466933867734427e-01	6.067110480347238655e-01	1.361528655274971689e-01
6.753507014028055089e-01	5.698039445148394000e-01	1.294694512850020907e-01
6.773547094188375750e-01	5.153711902040893911e-01	1.375409068096040688e-01
6.793587174348696411e-01	5.661503599325894420e-01	3.781335796348528344e-02
6.813627254509017073e-01	5.967713773625382689e-01	-4.414916724970108231e-02
6.833667334669337734e-01	5.705713288912485082e-01	-7.148032109641716536e-02
6.853707414829658395e-01	4.894304002212483962e-01	-4.584817876497560007e-02
6.873747494989979057e-01	4.109474314323552369e-01	-2.463163389827360827e-02
6.893787575150299718e-01	3.551800241213425857e-01	-2.766137724297107470e-02
6.913827655310620379e-01	2.672017820127427501e-01	2.219636346046938158e-04
6.933867735470941041e-01	1.751322567650986373e-01	3.113695540410163498e-02
6.953907815631261702e-01	1.238870299397041852e-01	2.041033348910820111e-02
6.973947895791582363e-01	9.412386586110427222e-02	-1.237011094327863936e-02
6.993987975951903024e-01	5.012893352691380477e-02	-3.124272587437148391e-02
7.014028056112223686e-01	-2.906258035196786910e-02	-1.499359343305671499e-02
7.034068136272544347e-01	-1.375470952315934192e-01	3.072310693952810812e-02
7.054108216432865008e-01	-5.713486141448320677e-02	-1.120336650503296061e-01
7.074148296593185670e-01	-1.327449765644541091e-01	-9.809777951315956646e-02
7.094188376753506331e-01	-1.877018550812071529e-01	-1.039004458351923399e-01
7.114228456913826992e-01	-2.483286059511725929e-01	-1.028778031368638157e-01
7.134268537074147654e-01	-4.006504485291543238e-01	-8.768458439648518787e-03
7.154308617234468315e-01	-4.603186133238968414e-01	-5.690521688131000566e-03
7.174348697394788976e-01	-5.436710610110632169e-01	2.291819930413807604e-02
7.194388777555109638e-01	-6.297586763833233903e-01	5.632550431616700770e-02
7.214428857715430299e-01	-6.161084808500773002e-01	-7.732846278529548201e-03
7.234468937875750960e-01	-6.726416611065249018e-01	8.640700558029124068e-04
7.254509018036071621e-01	-6.490013197362789477e-01	-6.805070280784508707e-02
7.274549098196392283e-01	-6.552935980217974299e-01	-1.041916294667798448e-01
7.294589178356712944e-01	-6.372592952209781281e-01	-1.616497745381715312e-01
7.314629258517033605e-01	-6.310745876644009433e-01	-2.040927497796137802e-01
7.334669338677354267e-01	-6.733668621752992856e-01	-1.947494996387904020e-01
7.354709418837674928e-01	-7.435519400346769503e-01	-1.540736465572464242e-01
7.374749498997995589e-01	-7.979498638797315468e-01	-1.256282213844479578e-01
7.394789579158316251e-01	-8.685739125801181792e-01	-7.729711180780574065e-02
7.414829659318636912e-01	-8.765046120309522015e-01	-8.791145902399111201e-02
7.434869739478957573e-01	-9.402322599023174021e-01	-3.890748299722712744e-02
7.454909819639278235e-01	-9.197149793308243559e-01	-7.026871993216743384e-02
7.474949899799598896e-01	-9.182161138608369022e-01	-7.868885850003815019e-02
7.494989979959919557e-01	-8.996963642058768418e-01	-1.001797733315604733e-01
7.515030060120240218e-01	-8.922823859507682531e-01	-1.066030359814822415e-01
7.535070140280560880e-01	-8.785248909403551298e-01	-1.154118601883084017e-01
7.555110220440881541e-01	-9.259599556435398338e-01	-5.908977795564207547e-02
7.575150300601202202e-01	-9.506931715495124946e-01	-2.156641145990179087e-02
7.595190380761522864e-01	-9.128780887849067271e-01	-4.273888990353746919e-02
7.615230460921843525e-01	-9.906200980742767559e-01	5.543223325577861793e-02
7.635270541082164186e-01	-1.000562233067811890e+00	8.950904392822001121e-02
7.655310621242484848e-01	-1.098937050930232973e+00	2.156284687257272736e-01
7.675350701402805509e-01	-1.140647015516790708e+00	2.885830370617842311e-01
7.695390781563125060e-01	-1.085126762436194214e+00	2.676835818154597035e-01
7.715430861723445721e-01	-1.098916471197526556e+00	3.193331020307421664e-01
7.735470941883766383e-01	-1.119536896519173208e+00	3.809023377854323655e-01
7.755511022044087044e-01	-1.107108929875258108e+00	4.123499261513343672e-01
7.775551102204407705e-01	-9.747998579092443938e-01	3.266693025200848588e-01
7.795591182364728366e-01	-8.937020230795695852e-01	2.947680501120472085e-01
7.815631262525049028e-01	-7.891421018230202478e-01	2.417779102244372869e-01
7.835671342685369689e-01	-7.448580740918089305e-01	2.512325241738566084e-01
7.855711422845690350e-01	-6.916349982569804933e-01	2.537040178652985589e-01
7.875751503006011012e-01	-6.959947208870805868e-01	3.154935552883672556e-01
7.895791583166331673e-01	-6.541653347723970224e-01	3.326016709678956684e-01
7.915831663326652334e-01	-5.906430615733617717e-01	3.292910542827529041e-01
7.935871743486972996e-01	-4.902301021029648043e-01	2.901253250899178404e-01
7.955911823647293657e-01	-3.247425548529492834e-01	1.866778975970918020e-01
7.975951903807614318e-01	-1.717469545971703759e-01	9.626948057135206738e-02
7.995991983967934980e-01	-4.340681535189746393e-02	3.081559435343775993e-02
8.016032064128255641e-01	4.859036120143113424e-02	1.754561923594341599e-03
8.036072144288576302e-01	9.286069544289884958e-02	2.022088651348460941e-02
8.056112224448896963e-01	1.829812442813406603e-01	-7.611074739129863875e-03
8.076152304609217625e-01	2.685817559000177601e-01	-3.161788054614869670e-02
8.096192384769538286e-01	2.674503707727916013e-01	3.016827146971523543e-02
8.116232464929858947e-01	3.123479498440484559e-01	4.474618364011967442e-02
8.136272545090179609e-01	4.297258685400393574e-01	-1.457118345684466076e-02
8.156312625250500270e-01	4.427960519443533971e-01	2.877418761618927290e-02
8.176352705410820931e-01	4.586354482275601940e-01	6.748180929943714546e-02
8.196392785571141593e-01	4.746832739383487487e-01	1.038963294909479584e-01
8.216432865731462254e-01	4.066722577185046816e-01	2.220771442409869012e-01
